index,image,raw_score,normalized_score
0,banana/image_0001.jpg,0.526646,0.383459
1,banana/image_0002.jpg,0.495697,0.419690
2,banana/image_0003.jpg,0.506956,0.406510
3,banana/image_0004.jpg,0.448389,0.475073
4,banana/image_0005.jpg,0.326045,0.618301
5,banana/image_0006.jpg,0.474534,0.444466
6,banana/image_0007.jpg,0.726593,0.149382
7,banana/image_0008.jpg,0.531786,0.377441
8,banana/image_0009.jpg,0.790523,0.074539
9,banana/image_0010.jpg,0.664657,0.221889
10,banana/image_0011.jpg,0.491589,0.424500
11,banana/image_0012.jpg,0.677867,0.206425
12,banana/image_0013.jpg,0.607058,0.289320
13,banana/image_0014.jpg,0.565718,0.337717
14,banana/image_0015.jpg,0.486417,0.430555
15,banana/image_0016.jpg,0.556250,0.348802
16,banana/image_0017.jpg,0.823091,0.036411
17,banana/image_0018.jpg,0.418277,0.510325
18,banana/image_0019.jpg,0.406616,0.523976
19,banana/image_0020.jpg,0.419027,0.509448
20,giraffe/image_0001.jpg,0.673640,0.211374
21,giraffe/image_0002.jpg,0.551828,0.353978
22,giraffe/image_0003.jpg,0.478790,0.439483
23,giraffe/image_0004.jpg,0.458812,0.462872
24,giraffe/image_0005.jpg,0.529936,0.379606
25,giraffe/image_0006.jpg,0.331434,0.611992
26,giraffe/image_0007.jpg,0.489266,0.427219
27,giraffe/image_0008.jpg,0.468009,0.452105
28,giraffe/image_0009.jpg,0.800056,0.063379
29,giraffe/image_0010.jpg,0.481330,0.436509
30,giraffe/image_0011.jpg,0.361214,0.577128
31,giraffe/image_0012.jpg,0.368414,0.568700
32,giraffe/image_0013.jpg,0.471259,0.448299
33,giraffe/image_0014.jpg,0.494804,0.420736
34,giraffe/image_0015.jpg,0.447917,0.475626
35,giraffe/image_0016.jpg,0.403891,0.527167
36,giraffe/image_0017.jpg,0.478497,0.439827
37,giraffe/image_0018.jpg,0.466254,0.454159
38,giraffe/image_0019.jpg,0.469506,0.450352
39,giraffe/image_0020.jpg,0.000000,1.000000
40,tennis_ball/image_0001.jpg,0.537112,0.371205
41,tennis_ball/image_0002.jpg,0.632668,0.259339
42,tennis_ball/image_0003.jpg,0.445644,0.478288
43,tennis_ball/image_0004.jpg,0.538034,0.370126
44,tennis_ball/image_0005.jpg,0.348665,0.591819
45,tennis_ball/image_0006.jpg,0.444617,0.479490
46,tennis_ball/image_0007.jpg,0.371258,0.565371
47,tennis_ball/image_0008.jpg,0.718689,0.158635
48,tennis_ball/image_0009.jpg,0.484103,0.433263
49,tennis_ball/image_0010.jpg,0.601446,0.295890
50,tennis_ball/image_0011.jpg,0.624894,0.268440
51,tennis_ball/image_0012.jpg,0.854194,0.000000
52,tennis_ball/image_0013.jpg,0.325881,0.618493
53,tennis_ball/image_0014.jpg,0.430384,0.496151
54,tennis_ball/image_0015.jpg,0.224839,0.736782
55,tennis_ball/image_0016.jpg,0.520932,0.390147
56,tennis_ball/image_0017.jpg,0.622430,0.271325
57,tennis_ball/image_0018.jpg,0.712813,0.165514
58,tennis_ball/image_0019.jpg,0.550903,0.355061
59,tennis_ball/image_0020.jpg,0.328022,0.615986
60,zebra/image_0001.jpg,0.302868,0.645434
61,zebra/image_0002.jpg,0.536983,0.371356
62,zebra/image_0003.jpg,0.418716,0.509811
63,zebra/image_0004.jpg,0.304439,0.643595
64,zebra/image_0005.jpg,0.435173,0.490546
65,zebra/image_0006.jpg,0.351507,0.588493
66,zebra/image_0007.jpg,0.464096,0.456685
67,zebra/image_0008.jpg,0.595018,0.303416
68,zebra/image_0009.jpg,0.528731,0.381017
69,zebra/image_0010.jpg,0.348869,0.591581
70,zebra/image_0011.jpg,0.448822,0.474566
71,zebra/image_0012.jpg,0.412387,0.517221
72,zebra/image_0013.jpg,0.464847,0.455806
73,zebra/image_0014.jpg,0.369383,0.567566
74,zebra/image_0015.jpg,0.585689,0.314337
75,zebra/image_0016.jpg,0.575429,0.326348
76,zebra/image_0017.jpg,0.437944,0.487302
77,zebra/image_0018.jpg,0.552200,0.353542
78,zebra/image_0019.jpg,0.636866,0.254425
79,zebra/image_0020.jpg,0.670643,0.214882
